Experiment name: example_CNN_1

DSE of CIFAR-10 dataset:

	conv_depth:	[1 2 3]
	fc_depth:	[0 1]
	fc_layers:	[ 32  64 128 256]
	fc_layers_local:	['fc_depth']
	conv_filters:	[16 32 64]
	conv_filters_local:	['conv_depth']
	conv_activation:	['ReLU']
	fc_activation:	['ReLU']
	out_activation:	['softmax']
	conv_pooltype:	['max2d']
	conv_pools:	[1, 2]
	conv_pools_local:	['conv_depth']
	conv_kernels:	[3, 5, 7]
	conv_kernels_local:	['conv_depth']
	conv_strides:	[1, 2, 3]
	conv_strides_local:	['conv_depth']
	learning_rate:	[ 0.001       0.00146002  0.00213166  0.00311227  0.00454399  0.00663432
  0.00968625  0.01414214  0.02064782  0.03014627  0.0440142   0.06426169
  0.09382346  0.13698427  0.2       ]
	epochs:	[100]
	batchsize:	[300]
	updates:	['ADAM']
	loss:	['categorical_crossentropy']

Pareto-optimal results:
1: fc_layers: [], conv_filters: [32, 64, 64], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 7], conv_strides: [1, 2, 3], learning_rate: 0.006634320132434368, Error: 0.278333320337, Cost: 6853.42, Duration: 894s, Completed: Wed Dec  6 01:01:33 2017
2: fc_layers: [], conv_filters: [32, 64, 64], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 7], conv_strides: [2, 1, 3], learning_rate: 0.0010000000474974513, Error: 0.306078435744, Cost: 6438.7, Duration: 673s, Completed: Wed Dec  6 12:57:00 2017
3: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [2, 2, 1], conv_kernels: [7, 3, 7], conv_strides: [2, 1, 2], learning_rate: 0.0014600215945392847, Error: 0.309803934658, Cost: 5130.3, Duration: 673s, Completed: Wed Dec  6 06:06:13 2017
4: fc_layers: [], conv_filters: [16, 64, 64], conv_pools: [2, 2, 1], conv_kernels: [7, 3, 5], conv_strides: [2, 1, 2], learning_rate: 0.006634320132434368, Error: 0.317549014793, Cost: 4852.82, Duration: 566s, Completed: Wed Dec  6 14:20:41 2017
5: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [2, 1, 1], conv_kernels: [7, 3, 5], conv_strides: [2, 1, 3], learning_rate: 0.002131663030013442, Error: 0.330882361707, Cost: 4413.42, Duration: 673s, Completed: Wed Dec  6 08:24:39 2017
6: fc_layers: [], conv_filters: [32, 16, 32], conv_pools: [2, 2, 2], conv_kernels: [5, 3, 3], conv_strides: [2, 1, 2], learning_rate: 0.09382345527410507, Error: 0.331666685203, Cost: 1104.4, Duration: 502s, Completed: Wed Dec  6 05:39:11 2017
7: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [2, 1, 2], conv_kernels: [5, 3, 5], conv_strides: [2, 1, 3], learning_rate: 0.002131663030013442, Error: 0.36656864601, Cost: 1010.67, Duration: 499s, Completed: Wed Dec  6 13:05:38 2017
8: fc_layers: [], conv_filters: [16, 16, 32], conv_pools: [2, 1, 2], conv_kernels: [3, 3, 3], conv_strides: [2, 2, 2], learning_rate: 0.06426168978214264, Error: 0.376078442616, Cost: 707.806, Duration: 483s, Completed: Wed Dec  6 12:01:03 2017
9: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [2, 2, 2], conv_kernels: [3, 3, 3], conv_strides: [3, 1, 1], learning_rate: 0.0045439875684678555, Error: 0.401176487698, Cost: 529.742, Duration: 476s, Completed: Wed Dec  6 12:45:28 2017
10: fc_layers: [], conv_filters: [32, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 3], learning_rate: 0.06426168978214264, Error: 0.428823532427, Cost: 507.969, Duration: 408s, Completed: Wed Dec  6 02:58:43 2017
11: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 3], learning_rate: 0.009686251170933247, Error: 0.448333335273, Cost: 359.822, Duration: 409s, Completed: Wed Dec  6 08:04:57 2017

All results:
1: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 7], conv_strides: [2, 2], learning_rate: 0.044014204293489456, Error: 0.438823536915, Cost: 1595.69, Duration: 434s, Completed: Tue Dec  5 21:41:20 2017
2: fc_layers: [], conv_filters: [64, 32, 64], conv_pools: [2, 1, 2], conv_kernels: [3, 3, 3], conv_strides: [2, 2, 2], learning_rate: 0.002131663030013442, Error: 0.381078448366, Cost: 1660.02, Duration: 560s, Completed: Tue Dec  5 21:50:54 2017
3: fc_layers: [], conv_filters: [64, 16, 16], conv_pools: [1, 2, 2], conv_kernels: [3, 5, 3], conv_strides: [1, 3, 3], learning_rate: 0.030146269127726555, Error: 0.423823545961, Cost: 3529.28, Duration: 1345s, Completed: Tue Dec  5 22:13:33 2017
4: fc_layers: [], conv_filters: [64, 32], conv_pools: [2, 2], conv_kernels: [7, 3], conv_strides: [3, 1], learning_rate: 0.09382345527410507, Error: 0.407058843795, Cost: 2243.96, Duration: 443s, Completed: Tue Dec  5 22:21:13 2017
5: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [2, 2, 1], conv_kernels: [7, 7, 3], conv_strides: [1, 2, 3], learning_rate: 0.0014600215945392847, Error: 0.393529427402, Cost: 3168.82, Duration: 703s, Completed: Tue Dec  5 22:33:11 2017
6: fc_layers: [], conv_filters: [16, 32, 16], conv_pools: [2, 2, 1], conv_kernels: [5, 5, 7], conv_strides: [2, 2, 1], learning_rate: 0.0045439875684678555, Error: 0.387254918323, Cost: 2917.09, Duration: 492s, Completed: Tue Dec  5 22:41:39 2017
7: fc_layers: [], conv_filters: [64, 64, 64], conv_pools: [2, 2, 1], conv_kernels: [5, 7, 3], conv_strides: [2, 3, 1], learning_rate: 0.09382345527410507, Error: 0.381764718715, Cost: 4777.21, Duration: 705s, Completed: Tue Dec  5 22:53:40 2017
8: fc_layers: [], conv_filters: [32, 64], conv_pools: [1, 2], conv_kernels: [3, 7], conv_strides: [3, 2], learning_rate: 0.0045439875684678555, Error: 0.414019624977, Cost: 7826.42, Duration: 548s, Completed: Tue Dec  5 23:03:03 2017
9: fc_layers: [], conv_filters: [16, 32], conv_pools: [1, 2], conv_kernels: [7, 7], conv_strides: [3, 1], learning_rate: 0.0014600215945392847, Error: 0.451764709809, Cost: 9799.69, Duration: 476s, Completed: Tue Dec  5 23:11:14 2017
10: fc_layers: [], conv_filters: [64, 32, 64], conv_pools: [1, 1, 2], conv_kernels: [3, 7, 5], conv_strides: [3, 3, 1], learning_rate: 0.01414213515818119, Error: 0.399803934728, Cost: 7018.38, Duration: 599s, Completed: Tue Dec  5 23:21:29 2017
11: fc_layers: [], conv_filters: [32, 16], conv_pools: [2, 2], conv_kernels: [5, 5], conv_strides: [1, 3], learning_rate: 0.003112274222075939, Error: 0.421764719136, Cost: 3085.69, Duration: 683s, Completed: Tue Dec  5 23:33:10 2017
12: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [1, 2, 1], conv_kernels: [3, 3, 7], conv_strides: [2, 3, 3], learning_rate: 0.01414213515818119, Error: 0.450294131742, Cost: 1208.89, Duration: 482s, Completed: Tue Dec  5 23:41:26 2017
13: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [1, 1, 2], conv_kernels: [5, 3, 5], conv_strides: [3, 2, 1], learning_rate: 0.020647823810577393, Error: 0.369509814417, Cost: 4330.73, Duration: 582s, Completed: Tue Dec  5 23:51:24 2017
14: fc_layers: [], conv_filters: [16, 32, 16], conv_pools: [2, 2, 2], conv_kernels: [3, 5, 3], conv_strides: [2, 1, 3], learning_rate: 0.044014204293489456, Error: 0.417941188111, Cost: 1118.53, Duration: 483s, Completed: Tue Dec  5 23:59:41 2017
15: fc_layers: [], conv_filters: [16, 64], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [2, 3], learning_rate: 0.09382345527410507, Error: 0.48460785431, Cost: 874.706, Duration: 421s, Completed: Wed Dec  6 00:06:59 2017
16: fc_layers: [], conv_filters: [32], conv_pools: [2], conv_kernels: [3], conv_strides: [3], learning_rate: 0.0010000000474974513, Error: 0.430294126272, Cost: 8108.12, Duration: 350s, Completed: Wed Dec  6 00:13:02 2017
17: fc_layers: [], conv_filters: [16], conv_pools: [2], conv_kernels: [3], conv_strides: [3], learning_rate: 0.006634320132434368, Error: 0.425980404896, Cost: 4079.32, Duration: 347s, Completed: Wed Dec  6 00:19:08 2017
18: fc_layers: [], conv_filters: [32, 32, 16], conv_pools: [2, 1, 1], conv_kernels: [5, 5, 7], conv_strides: [2, 3, 2], learning_rate: 0.0045439875684678555, Error: 0.388431396554, Cost: 3322.85, Duration: 542s, Completed: Wed Dec  6 00:28:24 2017
19: fc_layers: [], conv_filters: [32, 64, 64], conv_pools: [1, 2, 1], conv_kernels: [3, 3, 3], conv_strides: [1, 2, 3], learning_rate: 0.01414213515818119, Error: 0.3487255135, Cost: 7459.7, Duration: 1060s, Completed: Wed Dec  6 00:46:22 2017
20: fc_layers: [], conv_filters: [32, 64, 64], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 7], conv_strides: [1, 2, 3], learning_rate: 0.006634320132434368, Error: 0.278333320337, Cost: 6853.42, Duration: 894s, Completed: Wed Dec  6 01:01:33 2017
21: fc_layers: [], conv_filters: [16, 32, 32], conv_pools: [2, 1, 1], conv_kernels: [3, 7, 5], conv_strides: [1, 2, 3], learning_rate: 0.0045439875684678555, Error: 0.409607860972, Cost: 5123.91, Duration: 670s, Completed: Wed Dec  6 01:13:00 2017
22: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [1, 2, 2], conv_kernels: [5, 3, 5], conv_strides: [3, 1, 3], learning_rate: 0.20000000298023224, Error: 0.439411772525, Cost: 982.465, Duration: 482s, Completed: Wed Dec  6 01:21:17 2017
23: fc_layers: [], conv_filters: [32, 16, 32], conv_pools: [2, 1, 2], conv_kernels: [5, 5, 3], conv_strides: [3, 3, 1], learning_rate: 0.0010000000474974513, Error: 0.405294132583, Cost: 1433.83, Duration: 479s, Completed: Wed Dec  6 01:29:31 2017
24: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [2, 3], learning_rate: 0.020647823810577393, Error: 0.516568633563, Cost: 391.25, Duration: 421s, Completed: Wed Dec  6 01:36:49 2017
25: fc_layers: [32], conv_filters: [16, 32, 32], conv_pools: [2, 2, 1], conv_kernels: [7, 3, 3], conv_strides: [2, 1, 2], learning_rate: 0.0045439875684678555, Error: 0.36421571409, Cost: 5372.4, Duration: 552s, Completed: Wed Dec  6 01:46:17 2017
26: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [2, 1, 2], conv_kernels: [5, 3, 3], conv_strides: [1, 2, 2], learning_rate: 0.003112274222075939, Error: 0.357450993622, Cost: 1643.51, Duration: 637s, Completed: Wed Dec  6 01:57:09 2017
27: fc_layers: [], conv_filters: [32, 32, 16], conv_pools: [2, 2, 2], conv_kernels: [5, 3, 7], conv_strides: [1, 1, 2], learning_rate: 0.0010000000474974513, Error: 0.377647070324, Cost: 3840.04, Duration: 854s, Completed: Wed Dec  6 02:11:41 2017
28: fc_layers: [], conv_filters: [32, 64, 32], conv_pools: [1, 2, 1], conv_kernels: [3, 3, 5], conv_strides: [1, 3, 2], learning_rate: 0.002131663030013442, Error: 0.364117662696, Cost: 5369.39, Duration: 908s, Completed: Wed Dec  6 02:27:06 2017
29: fc_layers: [], conv_filters: [64, 32, 16], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 5], conv_strides: [1, 2, 1], learning_rate: 0.06426168978214264, Error: 0.349117669989, Cost: 4939.97, Duration: 1033s, Completed: Wed Dec  6 02:44:34 2017
30: fc_layers: [], conv_filters: [16, 32], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 2], learning_rate: 0.01414213515818119, Error: 0.454019621891, Cost: 526.158, Duration: 410s, Completed: Wed Dec  6 02:51:40 2017
31: fc_layers: [], conv_filters: [32, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 3], learning_rate: 0.06426168978214264, Error: 0.428823532427, Cost: 507.969, Duration: 408s, Completed: Wed Dec  6 02:58:43 2017
32: fc_layers: [], conv_filters: [32, 16, 32], conv_pools: [1, 2, 2], conv_kernels: [3, 3, 3], conv_strides: [3, 1, 2], learning_rate: 0.044014204293489456, Error: 0.411764723413, Cost: 1065.06, Duration: 482s, Completed: Wed Dec  6 03:07:07 2017
33: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [2, 1, 2], conv_kernels: [3, 3, 5], conv_strides: [1, 2, 1], learning_rate: 0.020647823810577393, Error: 0.331078427679, Cost: 5983.2, Duration: 1030s, Completed: Wed Dec  6 03:24:30 2017
34: fc_layers: [], conv_filters: [64, 64, 64], conv_pools: [2, 1, 2], conv_kernels: [7, 3, 3], conv_strides: [2, 1, 3], learning_rate: 0.002131663030013442, Error: 0.354509826969, Cost: 2517.3, Duration: 678s, Completed: Wed Dec  6 03:36:02 2017
35: fc_layers: [], conv_filters: [32, 16, 64], conv_pools: [2, 2, 1], conv_kernels: [7, 3, 7], conv_strides: [2, 3, 1], learning_rate: 0.006634320132434368, Error: 0.438823536915, Cost: 2158.87, Duration: 509s, Completed: Wed Dec  6 03:44:50 2017
36: fc_layers: [], conv_filters: [32, 32, 16], conv_pools: [2, 1, 2], conv_kernels: [7, 5, 3], conv_strides: [1, 2, 1], learning_rate: 0.044014204293489456, Error: 0.391666675315, Cost: 5398.58, Duration: 837s, Completed: Wed Dec  6 03:59:03 2017
37: fc_layers: [], conv_filters: [32, 64, 64], conv_pools: [2, 2, 1], conv_kernels: [3, 3, 5], conv_strides: [2, 1, 3], learning_rate: 0.01414213515818119, Error: 0.331568639068, Cost: 4721.99, Duration: 602s, Completed: Wed Dec  6 04:09:21 2017
38: fc_layers: [], conv_filters: [32, 32, 64], conv_pools: [2, 2, 1], conv_kernels: [3, 3, 5], conv_strides: [2, 1, 3], learning_rate: 0.0045439875684678555, Error: 0.33970590374, Cost: 3898.95, Duration: 528s, Completed: Wed Dec  6 04:18:26 2017
39: fc_layers: [], conv_filters: [32, 16, 64], conv_pools: [2, 1, 2], conv_kernels: [5, 3, 5], conv_strides: [3, 2, 1], learning_rate: 0.0045439875684678555, Error: 0.409411773962, Cost: 1517.53, Duration: 473s, Completed: Wed Dec  6 04:26:37 2017
40: fc_layers: [], conv_filters: [16, 32, 16], conv_pools: [1, 2, 2], conv_kernels: [3, 5, 3], conv_strides: [2, 3, 1], learning_rate: 0.13698427379131317, Error: 0.444019619156, Cost: 1048.26, Duration: 501s, Completed: Wed Dec  6 04:35:13 2017
41: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [2, 1, 2], conv_kernels: [7, 5, 3], conv_strides: [2, 1, 3], learning_rate: 0.0010000000474974513, Error: 0.382745113443, Cost: 3529.71, Duration: 689s, Completed: Wed Dec  6 04:47:01 2017
42: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [5, 3], conv_strides: [3, 3], learning_rate: 0.01414213515818119, Error: 0.462156876922, Cost: 449.639, Duration: 417s, Completed: Wed Dec  6 04:54:13 2017
43: fc_layers: [], conv_filters: [32, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 2], learning_rate: 0.003112274222075939, Error: 0.498235303689, Cost: 518.337, Duration: 413s, Completed: Wed Dec  6 05:01:21 2017
44: fc_layers: [], conv_filters: [32, 16, 16], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 5], conv_strides: [1, 2, 2], learning_rate: 0.0014600215945392847, Error: 0.344705898972, Cost: 2104.8, Duration: 725s, Completed: Wed Dec  6 05:13:42 2017
